pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.006    0.003   19.567    9.784 main.py:1(<module>)
    545/1    0.007    0.000   19.560   19.560 {built-in method builtins.exec}
      219    1.358    0.006    9.785    0.045 scene.py:65(render)
      219    7.133    0.033    7.133    0.033 {built-in method pygame.time.delay}
   131400    1.936    0.000    3.553    0.000 scene.py:9(_get_ray_hit_info)
   131400    0.635    0.000    1.883    0.000 scene.py:44(_get_column)
   186761    1.649    0.000    1.649    0.000 {method 'blit' of 'pygame.Surface' objects}
    55361    0.408    0.000    1.594    0.000 scene.py:53(_apply_dark)
    292/4    0.006    0.000    1.256    0.314 <frozen importlib._bootstrap>:978(_find_and_load)
    292/4    0.003    0.000    1.256    0.314 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    279/4    0.003    0.000    1.253    0.313 <frozen importlib._bootstrap>:663(_load_unlocked)
    200/4    0.002    0.000    1.253    0.313 <frozen importlib._bootstrap_external>:722(exec_module)
    404/5    0.001    0.000    1.231    0.246 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   616842    0.685    0.000    1.185    0.000 world.py:10(__getitem__)
        1    0.092    0.092    0.768    0.768 {built-in method pygame.display.set_mode}
   351/31    0.001    0.000    0.762    0.025 {built-in method builtins.__import__}
   131400    0.758    0.000    0.758    0.000 {built-in method pygame.transform.scale}
    55580    0.697    0.000    0.697    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.000    0.000    0.669    0.669 pkgdata.py:18(<module>)
        1    0.001    0.001    0.651    0.651 __init__.py:16(<module>)
        1    0.587    0.587    0.587    0.587 {built-in method pygame.base.init}
        1    0.000    0.000    0.561    0.561 scene.py:1(<module>)
        1    0.000    0.000    0.558    0.558 __init__.py:25(<module>)
   616842    0.501    0.000    0.501    0.000 world.py:19(is_in_bounds)
 1006/192    0.002    0.000    0.463    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.433    0.433 surfarray.py:61(<module>)
        1    0.000    0.000    0.432    0.432 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.429    0.429 __init__.py:106(<module>)
   131400    0.415    0.000    0.415    0.000 {method 'subsurface' of 'pygame.Surface' objects}
    55361    0.378    0.000    0.378    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
      200    0.006    0.000    0.324    0.002 <frozen importlib._bootstrap_external>:793(get_code)
        8    0.001    0.000    0.268    0.033 __init__.py:1(<module>)
      201    0.187    0.001    0.211    0.001 <frozen importlib._bootstrap_external>:914(get_data)
      566    0.004    0.000    0.210    0.000 re.py:271(_compile)
   131619    0.210    0.000    0.210    0.000 camera.py:24(rays)
